Title,Genre,User Rating,Number of Votes,Year,Runtime,Summary,genres_clean,era,rating_norm,popularity,feature_str,cluster,cluster_label
The Boy and the Heron,"Animation, Adventure, Drama",7.6,829.0,2023.0,124 min,"Through encounters with his friends and uncle, follows a teenage boy's psychological development. He enters a magical world with a talking grey heron after finding an abandoned tower in his new town.",animation  adventure  drama,recent,0.7195121951219511,0.9373877744637544,animation  adventure  drama recent,8,Animation & Action
Mech Cadets,"Animation, Action, Adventure",6.8,497.0,2023.0,25 min,An underdog teen joins a group of young Cadets who've been chosen to bond with Robo Mechs from space and defend Earth against alien invaders.,animation  action  adventure,recent,0.621951219512195,0.7657353214535341,animation  action  adventure recent,8,Animation & Action
Rurouni Kenshin,"Animation, Action, Adventure",8.3,529.0,2023.0,24 min,"During the violent era known as the Bakumatsu, there was an Ishin assassin known only as the Hitokiri Battousai, whose skill and brutality became near legendary in the age of Restoration he helped to build. However, as the time of fighting drew to a close, he vanished without a trace, only to resurface eleven years later as a wandering swordsman, Himura Kenshin. Now staying at a kenjutsu dojo maintained by a fiery-tempered woman named Kamiya Kaoru, and surrounded by newfound friends like the streetfighter Sagara Sanosuke, ex-samurai's son Myoujin Yahiko, and the shrewd doctor Takani Megumi, he seeks to carry out his vow to protect the weak without killing in order to atone for the lives he's taken. It's not long, though, before this vow is put to the test, and the shadows of his past return to haunt him and everyone he holds dear.",animation  action  adventure,recent,0.8048780487804877,0.7866622037808186,animation  action  adventure recent,8,Animation & Action
Ooku: The Inner Chambers,"Animation, Drama, Fantasy",7.5,628.0,2023.0,30 min,"In an alternate history where the male population is nearly decimated, eligible men serve as concubines to the woman shogun inside the walls of the Ooku.",animation  drama  fantasy,recent,0.7073170731707316,0.8442086751396504,animation  drama  fantasy recent,0,Animation & Drama
Pokémon Horizons,"Animation, Action, Adventure",8.1,279.0,2023.0,24 min,"Liko, whose partner Pokémon is Sprigatito, and Roy will encounter many characters during their journey, including a group called the Rising Volt Tacklers.",animation  action  adventure,recent,0.7804878048780486,0.5722460450590209,animation  action  adventure recent,8,Animation & Action
Undead Murder Farce,"Animation, Drama, Fantasy",7.6,224.0,2023.0,,"In a world inhabited by vampires, golems, werewolves and other creatures, Aya Rindo, along with Tsugaru Shunichi and Shizuku Hasei, travels as supernatural detective, solving mysteries while she looks for her lost body.",animation  drama  fantasy,recent,0.7195121951219511,0.4987600333047351,animation  drama  fantasy recent,0,Animation & Drama
Synduality: Noir,"Animation, Action, Adventure",7.3,75.0,2023.0,24 min,"The year is 2242. Kanata wants to be a Drifter and meets Noir, who is a dud Magus with no memories. However, because Noir excels in battle against the Enders, Kanata partners with her and discovers exactly what it takes to be a Drifter.",animation  action  adventure,recent,0.6829268292682925,0.13404473726844518,animation  action  adventure recent,8,Animation & Action
Sugar Apple Fairy Tale,"Animation, Action, Adventure",6.8,330.0,2023.0,25 min,"Anne Halford is a candy crafter determined to follow in her mother's footsteps and become a Silver Sugar Master, a title bestowed only by royalty. In order to travel to the capital and realize her dream, she purchases Challe, a handsome but foul-mouthed fairy, as her bodyguard. Anne wishes to befriend her new companion, but in this kingdom where fairies are treated as property, Challe wants nothing to do with humans.",animation  action  adventure,recent,0.621951219512195,0.6284734402255119,animation  action  adventure recent,8,Animation & Action
Horimiya: The Missing Pieces,"Animation, Comedy, Drama",7.7,316.0,2023.0,,"It followed the relationship between Hori and Miyamura, two high school kids slowly forming a bond and falling in love - but only so much manga can be adapted and put into a thirteen-episode series. ""Horimiya: The Missing Pieces"" is here to fix that: It goes back to the beginning of the original series and fills in the pieces of the original manga that were left out in the first adaptation. From silly moments to quiet ones, this is a chance to reconnect with your favorite characters and see what happened between the scenes of the original.",animation  comedy  drama,recent,0.7317073170731706,0.6139513894256461,animation  comedy  drama recent,8,Animation & Action
Yarichin Bitch Club,"Animation, Comedy, Romance",5.3,555.0,2018.0,26 min,"Takashi Toono transfers to Morimori Academy, an all-boys boarding school. Due to the school's club policy, he joins ""Photography Club"". Members of the club offer sexual services to pent-up boys for no reason other than a love of sex.",animation  comedy  romance,twenty-tens,0.43902439024390233,0.8027550868113827,animation  comedy  romance twenty-tens,2,Animation & Comedy
